Spacecraft,Year,Start (DOY),Duration (h),Distance (AU),Heliolongitude (deg),Heliolatitude (deg),Average v (km/s),Radial width (AU),Note
1,1975,6.07,18.09,0.93,352.17,−2.65,543.77,0.24,
1,1977,29.43,23.83,0.95,323.15,−2.08,454.28,0.26,MC
1,1977,33.93,5.19,0.93,322,−2.49,312.11,0.04,
1,1977,78.75,6.36,0.57,329.41,−6.90,453.54,0.07,MC
1,1977,100.26,8.44,0.32,32.21,−2.85,473,0.1,
1,1977,268.33,19.59,0.57,145.1,−6.85,734.71,0.35,MC
1,1977,335.7,22.73,0.75,323.66,4.9,416.37,0.23,MC
1,1978,5.64,20.38,0.96,319.77,1.39,488.74,0.24,
1,1978,61.08,28.83,0.87,304.63,−3.60,442.62,0.31,MC
1,1978,103.84,4.92,0.44,330.93,−7.14,367.66,0.04,
1,1978,146.33,20.48,0.6,126.38,6.53,394.48,0.19,
1,1978,169.93,24.15,0.83,135.69,3.91,359.28,0.21,
1,1978,290.63,24.9,0.48,140.09,−7.22,456.13,0.27,
1,1978,342.2,21.71,0.66,305.24,5.9,330.76,0.17,
1,1978,363.09,59.96,0.85,308.91,3.6,670.97,0.97,MC
1,1979,3.23,9.52,0.88,308.35,3.07,485.76,0.11,
1,1979,12,9.75,0.92,306.71,2.22,392.18,0.09,
1,1979,31.45,34.32,0.98,301.3,0.45,421.11,0.35,
1,1979,36.88,23.05,0.98,299.6,−0.03,328.38,0.18,
1,1979,40.37,36.53,0.98,298.5,−0.34,412.12,0.36,
1,1979,58.54,43.31,0.95,293.11,−1.94,518.19,0.54,MC
1,1979,63.23,17.59,0.94,291.93,−2.36,526.17,0.22,
1,1979,76.21,6.91,0.87,289.59,−3.58,379.8,0.06,
1,1979,84.14,10.73,0.82,289.15,−4.36,493.28,0.13,
1,1979,89.56,24.18,0.77,289.52,−4.92,376.92,0.22,
1,1979,105.36,7.45,0.62,295.93,−6.54,712.67,0.13,
1,1979,176.21,7.35,0.75,120.02,4.9,522,0.09,
1,1979,346.21,27.91,0.53,279.31,7.04,364.73,0.24,
1,1980,69.88,4.28,0.97,279.09,−1.58,323.65,0.03,
1,1980,90.42,17.42,0.88,274.77,−3.47,484.49,0.2,MC
1,1980,92.33,10.7,0.87,274.57,−3.66,379.81,0.1,
1,1980,121.26,13.56,0.61,281.71,−6.59,314.22,0.1,
1,1980,172.45,7.14,0.54,92.25,6.96,385.38,0.07,MC
1,1980,183.85,5.32,0.67,102.65,5.77,397.33,0.05,
1,1980,190.12,34.15,0.74,105.26,5.06,487.99,0.4,
1,1980,204.07,13.95,0.85,106.98,3.55,364.82,0.12,
1,1980,217.05,12.21,0.92,105.74,2.27,396.46,0.12,
1,1981,27.59,11.58,0.85,278.24,3.61,601,0.17,
1,1981,28.44,16.94,0.85,278.18,3.53,533.47,0.22,
1,1981,30.92,12.49,0.87,277.94,3.27,427.64,0.13,
1,1981,101.03,12.6,0.9,260.46,−3.12,382.47,0.12,
1,1981,104.08,44.24,0.88,260.05,−3.41,548.63,0.58,
1,1981,131.57,17.12,0.65,264.3,−6.20,848.46,0.35,MC
1,1981,134.18,48.38,0.62,266.06,−6.46,626.37,0.73,
1,1981,146.08,31.7,0.47,281.19,−7.23,474.54,0.36,MC
1,1981,170.15,11.87,0.34,29.79,4.8,601.63,0.17,MC
1,1981,327.16,14.01,0.59,83.71,−6.72,565.1,0.19,
1,1982,38.83,20.65,0.82,263.11,4.04,435.66,0.22,
2,1977,29.87,4.22,0.98,350.73,−5.10,487.97,0.05,
2,1977,83.41,9.65,0.63,348.06,−7.19,414.52,0.1,
2,1977,95.8,3.79,0.47,2.82,−6.06,460.19,0.04,
2,1978,4.3,26.14,0.94,354.55,−2.76,562.54,0.35,MC
2,1978,6.01,14.37,0.95,354.07,−2.90,571.19,0.2,MC
2,1978,30.25,13.12,0.98,346.32,−4.70,573.93,0.18,
2,1978,37.71,45.8,0.97,343.88,−5.18,375.67,0.41,MC
2,1978,61.45,9.82,0.88,337.8,−6.48,440.51,0.1,
2,1978,66.2,6.68,0.85,337.18,−6.69,395.72,0.06,
2,1978,68.07,27.27,0.84,337.03,−6.77,520.53,0.34,
2,1978,100.15,7.88,0.5,352.45,−6.46,476.76,0.09,
2,1978,106.78,8.33,0.41,6.86,−4.87,429.02,0.09,
2,1978,108.89,7.3,0.38,13.55,−4.00,717.8,0.13,
2,1978,348.72,9.77,0.77,351.35,0.25,469.94,0.11,
2,1978,349.47,9.09,0.77,351.42,0.14,534.56,0.12,
2,1978,365.17,43.82,0.89,350.44,−1.73,576.99,0.61,
2,1979,6.62,13.24,0.92,349.07,−2.36,442.69,0.14,
2,1979,23.29,25.82,0.98,344.27,−3.75,411.54,0.26,
2,1979,31.49,28.2,0.98,341.57,−4.34,545.75,0.37,
2,1979,35.15,23.18,0.98,340.36,−4.59,421.91,0.24,
2,1979,43.23,8.94,0.98,337.72,−5.11,395.39,0.09,
2,1979,50.85,18.22,0.96,335.38,−5.56,447.06,0.2,
2,1979,93.09,18.54,0.67,333.3,−7.24,438.26,0.2,MC
2,1979,96.49,7.06,0.64,335.15,−7.20,540.82,0.09,
2,1979,364.96,24.83,0.85,344.75,−0.97,387.74,0.23,MC
2,1980,13.36,14.56,0.92,342.45,−2.36,469.65,0.16,
